name,carrier,p_nom,type,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Wind Onshore Deeside,Wind Onshore,342.2729868,Wind Onshore,Deeside,0,1,1,1
Wind Onshore Sellindge,Wind Onshore,55.408566,Wind Onshore,Sellindge,0,1,1,1
Wind Onshore Stella West,Wind Onshore,276.672211,Wind Onshore,Stella West,0,1,1,1
Wind Onshore Penwortham,Wind Onshore,216.2601955,Wind Onshore,Penwortham,0,1,1,1
Wind Onshore S.W.Penisula,Wind Onshore,211.5347146,Wind Onshore,S.W.Penisula,0,1,1,1
Wind Onshore Neilston,Wind Onshore,1456.003716,Wind Onshore,Neilston,0,1,1,1
Wind Onshore Bramford,Wind Onshore,34.468206,Wind Onshore,Bramford,0,1,1,1
Wind Onshore Torness,Wind Onshore,646.8347916,Wind Onshore,Torness,0,1,1,1
Wind Onshore Walpole,Wind Onshore,293.8136605,Wind Onshore,Walpole,0,1,1,1
Wind Onshore London,Wind Onshore,12.6012797,Wind Onshore,London,0,1,1,1
Wind Onshore Kemsley,Wind Onshore,76.9048678,Wind Onshore,Kemsley,0,1,1,1
Wind Onshore Daines,Wind Onshore,34.653517,Wind Onshore,Daines,0,1,1,1
Wind Onshore Th. Marsh/Stocksbridge,Wind Onshore,73.9398604,Wind Onshore,Th. Marsh/Stocksbridge,0,1,1,1
Wind Onshore Bramley,Wind Onshore,1.8531294,Wind Onshore,Bramley,0,1,1,1
Wind Onshore Sundon/East Claydon,Wind Onshore,127.3099876,Wind Onshore,Sundon/East Claydon,0,1,1,1
Wind Onshore Peterhead,Wind Onshore,561.0349098,Wind Onshore,Peterhead,0,1,1,1
Wind Onshore Pelham,Wind Onshore,42.621975,Wind Onshore,Pelham,0,1,1,1
Wind Onshore Harker,Wind Onshore,306.7855615,Wind Onshore,Harker,0,1,1,1
Wind Onshore Beauly,Wind Onshore,1370.759779,Wind Onshore,Beauly,0,1,1,1
Wind Onshore Denny/Bonnybridge,Wind Onshore,307.897436,Wind Onshore,Denny/Bonnybridge,0,1,1,1
Wind Onshore Strathaven,Wind Onshore,900.8061789,Wind Onshore,Strathaven,0,1,1,1
Wind Onshore Errochty,Wind Onshore,220.8003519,Wind Onshore,Errochty,0,1,1,1
Wind Onshore Eccles,Wind Onshore,96.6406955,Wind Onshore,Eccles,0,1,1,1
Solar Photovoltaics Thornton/Drax/Eggborough,Solar Photovoltaics,73.743309,Solar Photovoltaics,Thornton/Drax/Eggborough,0,1,1,1
Solar Photovoltaics Ratcliffe,Solar Photovoltaics,655.3866204,Solar Photovoltaics,Ratcliffe,0,1,1,1
Solar Photovoltaics Keadby,Solar Photovoltaics,383.9155454,Solar Photovoltaics,Keadby,0,1,1,1
Solar Photovoltaics Feckenham,Solar Photovoltaics,392.0779734,Solar Photovoltaics,Feckenham,0,1,1,1
Solar Photovoltaics Melksham,Solar Photovoltaics,1957.434516,Solar Photovoltaics,Melksham,0,1,1,1
Solar Photovoltaics Deeside,Solar Photovoltaics,359.2875411,Solar Photovoltaics,Deeside,0,1,1,1
Solar Photovoltaics Sellindge,Solar Photovoltaics,238.6806377,Solar Photovoltaics,Sellindge,0,1,1,1
Solar Photovoltaics Stella West,Solar Photovoltaics,70.2250211,Solar Photovoltaics,Stella West,0,1,1,1
Solar Photovoltaics Penwortham,Solar Photovoltaics,86.268413,Solar Photovoltaics,Penwortham,0,1,1,1
Solar Photovoltaics S.W.Penisula,Solar Photovoltaics,2052.428288,Solar Photovoltaics,S.W.Penisula,0,1,1,1
Solar Photovoltaics Bramford,Solar Photovoltaics,463.8510458,Solar Photovoltaics,Bramford,0,1,1,1
Solar Photovoltaics Torness,Solar Photovoltaics,21.1097263,Solar Photovoltaics,Torness,0,1,1,1
Solar Photovoltaics Walpole,Solar Photovoltaics,674.3853681,Solar Photovoltaics,Walpole,0,1,1,1
Solar Photovoltaics London,Solar Photovoltaics,38.9826275,Solar Photovoltaics,London,0,1,1,1
Solar Photovoltaics Kemsley,Solar Photovoltaics,356.8951044,Solar Photovoltaics,Kemsley,0,1,1,1
Solar Photovoltaics Daines,Solar Photovoltaics,72.3359945,Solar Photovoltaics,Daines,0,1,1,1
Solar Photovoltaics Th. Marsh/Stocksbridge,Solar Photovoltaics,165.2187877,Solar Photovoltaics,Th. Marsh/Stocksbridge,0,1,1,1
Solar Photovoltaics Lovedean,Solar Photovoltaics,565.4591949,Solar Photovoltaics,Lovedean,0,1,1,1
Solar Photovoltaics Bramley,Solar Photovoltaics,464.6954407,Solar Photovoltaics,Bramley,0,1,1,1
Solar Photovoltaics Sundon/East Claydon,Solar Photovoltaics,662.9861277,Solar Photovoltaics,Sundon/East Claydon,0,1,1,1
Solar Photovoltaics Peterhead,Solar Photovoltaics,15.1990027,Solar Photovoltaics,Peterhead,0,1,1,1
Solar Photovoltaics Pelham,Solar Photovoltaics,691.6953601,Solar Photovoltaics,Pelham,0,1,1,1
Solar Photovoltaics Harker,Solar Photovoltaics,48.9745657,Solar Photovoltaics,Harker,0,1,1,1
Solar Photovoltaics Denny/Bonnybridge,Solar Photovoltaics,25.3316703,Solar Photovoltaics,Denny/Bonnybridge,0,1,1,1
Solar Photovoltaics Strathaven,Solar Photovoltaics,1.8295096,Solar Photovoltaics,Strathaven,0,1,1,1
Large Hydro Deeside,Large Hydro,163.7,Large Hydro,Deeside,0,1,1,1
Large Hydro Neilston,Large Hydro,227.5,Large Hydro,Neilston,0,1,1,1
Large Hydro Harker,Large Hydro,39,Large Hydro,Harker,0,1,1,1
Large Hydro Beauly,Large Hydro,695.1,Large Hydro,Beauly,0,1,1,1
Large Hydro Strathaven,Large Hydro,91,Large Hydro,Strathaven,0,1,1,1
Large Hydro Errochty,Large Hydro,444.3,Large Hydro,Errochty,0,1,1,1
Small Hydro Ratcliffe,Small Hydro,1.7,Small Hydro,Ratcliffe,0,1,1,1
Small Hydro Feckenham,Small Hydro,5.5,Small Hydro,Feckenham,0,1,1,1
Small Hydro Deeside,Small Hydro,10.6,Small Hydro,Deeside,0,1,1,1
Small Hydro Stella West,Small Hydro,0.8,Small Hydro,Stella West,0,1,1,1
Small Hydro Neilston,Small Hydro,31.7,Small Hydro,Neilston,0,1,1,1
Small Hydro Beauly,Small Hydro,77.2,Small Hydro,Beauly,0,1,1,1
Small Hydro Denny/Bonnybridge,Small Hydro,7.2,Small Hydro,Denny/Bonnybridge,0,1,1,1
Small Hydro Errochty,Small Hydro,59.3,Small Hydro,Errochty,0,1,1,1
Interconnector Deeside,Interconnector,600,Interconnector,Deeside,20,1,1,1
Interconnector Sellindge,Interconnector,3200,Interconnector,Sellindge,20,1,1,1
Interconnector Neilston,Interconnector,600,Interconnector,Neilston,20,1,1,1
Interconnector Kemsley,Interconnector,1100,Interconnector,Kemsley,20,1,1,1
Interconnector Lovedean,Interconnector,1100,Interconnector,Lovedean,20,1,1,1
